Cycle#,ChargeOhms,DischargeOhms,MaxV,MinV,MaxOCV,MinOCV,CoulombicEff,EnergyEff,ChargeCapacity(AHrs),DischargeCapacity(AHrs),ChargeEnergy(WHrs),DischargeEnergy(WHrs)
67,0.153546586906,0.132876278748,1.58768,1.17138,1.51119,1.23813,0.952368250863,0.823649738533,1.05001886161,1.0000046266,1.51685672477,1.24935864475
68,0.152452008453,0.131830496243,1.58586,1.17352,1.50997,1.23965,0.952362405666,0.82469555813,1.05003479843,1.00001366666,1.51665366377,1.25077753974
69,0.151226606883,0.132543339917,1.58098,1.17321,1.5057,1.23965,0.952390822947,0.825219788876,1.05000222099,1.00001247935,1.51560373483,1.25070619408
70,0.151719846233,0.132876278748,1.5822,1.17138,1.50662,1.23813,0.952384119621,0.824814068444,1.05000531114,1.00000838384,1.51527780485,1.24982245104
71,0.153165124428,0.131756137597,1.58464,1.17138,1.50845,1.23752,0.952385000462,0.824597606465,1.05000121667,1.00000540922,1.5154528226,1.24963877023
72,0.151938838486,0.132448482843,1.58616,1.17108,1.51058,1.23752,0.952375763004,0.824538555104,1.05001095194,1.00000498152,1.51575762009,1.24980059796
73,0.153275743445,0.133473475506,1.58921,1.17047,1.51302,1.23752,0.952373458073,0.824087965401,1.05000983416,1.00000149677,1.51632180795,1.24958255361
74,0.153054664963,0.131756137597,1.58829,1.17199,1.5121,1.23813,0.952382878018,0.824598174176,1.05000396991,1.00000580279,1.51633054374,1.25036339782
75,0.153165124428,0.131756137597,1.58677,1.17077,1.51058,1.23691,0.952370349368,0.82456876363,1.05001690625,1.00000496785,1.51559575863,1.24971292086
76,0.153165124428,0.13233384065,1.58921,1.17017,1.51302,1.2366,0.952384564767,0.824160780668,1.05000813778,1.0000115433,1.51596243639,1.24939678504
77,0.154010617673,0.132144832168,1.59104,1.17017,1.51454,1.2366,0.95238005914,0.824097999697,1.05000406187,1.00000293054,1.51645123017,1.24970442542
78,0.154010617673,0.132951385292,1.59165,1.17017,1.51515,1.23691,0.952374493415,0.823929312547,1.05000803331,1.0000008688,1.51665206574,1.2496140939
79,0.155014604865,0.133046534391,1.59165,1.17108,1.51454,1.23782,0.952381849112,0.824060909921,1.05000535729,1.00000604376,1.51666739715,1.24982631534
80,0.152342142506,0.132971306087,1.58464,1.17077,1.50875,1.23752,0.952382090845,0.824854598327,1.05000445357,1.00000543689,1.51531840857,1.24991735724
81,0.151829263393,0.133046534391,1.58281,1.17017,1.50723,1.23691,0.952369755703,0.824944938337,1.05001658223,1.0000040359,1.51448680149,1.24936822107
82,0.151206518333,0.132259175431,1.58189,1.16986,1.50662,1.2363,0.9523847439,0.825145830369,1.05000296699,1.00000680681,1.51399267783,1.24926474532
83,0.152452008453,0.13233384065,1.58281,1.16956,1.50692,1.23599,0.952381551837,0.825139364879,1.05001284175,1.00001285967,1.51382473559,1.24911638086
